subject_id,height,weight,chest,waist,hip,gender,image_path
UD_0,159.0,49.0,79.0,68.0,70.0,F,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/0_front.jpg
UD_1,157.0,64.0,93.0,79.0,100.0,F,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/1_front.jpg
UD_10,163.0,78.0,112.0,88.0,98.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/10_front.jpg
UD_11,163.0,53.0,86.0,65.0,84.0,F,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/11_front.jpg
UD_12,165.0,60.0,90.0,73.0,76.0,F,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/12_front.jpg
UD_13,155.0,99.0,105.0,102.0,102.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/13_front.jpg
UD_14,172.0,58.0,86.0,77.0,80.0,F,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/14_front.jpg
UD_15,168.0,76.0,103.0,101.0,99.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/15_front.jpg
UD_16,175.0,80.0,107.0,92.0,93.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/16_front.jpg
UD_17,170.0,61.0,90.0,73.0,90.0,F,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/17_front.jpg
UD_18,190.0,100.0,110.0,99.0,50.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/18_front.jpg
UD_19,176.0,60.0,90.0,70.0,84.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/19_front.jpg
UD_2,165.0,78.0,103.0,93.0,95.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/2_front.jpg
UD_20,172.0,70.0,93.0,84.0,86.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/20_front.jpg
UD_3,152.0,43.0,80.0,63.0,70.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/3_front.jpg
UD_4,176.0,83.0,108.0,98.0,98.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/4_front.jpg
UD_5,159.0,89.0,104.0,91.0,110.0,F,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/5_front.jpg
UD_6,155.0,54.0,85.0,69.0,71.0,F,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/6_front.jpg
UD_7,161.0,55.0,84.0,73.0,78.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/7_front.jpg
UD_8,167.0,55.0,81.0,69.0,84.0,F,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/8_front.jpg
UD_9,165.0,75.0,101.0,86.0,91.0,M,/Users/vosnuevo/Shared/workspaces/SKN28-FINAL-1Team/ml/body_measurement/data/uniquedata/images/9_front.jpg
